City_Eng_Trim,irrigated_area_abs,area,irrigated_area_rel
Shizuishan,101.3,0.42497,238.3697673
Wuzhong,101.3,1.54483,65.57355826
Yinchuan,101.3,0.84689,119.6141175
Zhongwei,101.3,1.25912,80.4530148
Urumqi,6.4,1.10179,5.808729431
Karamay,19.65,0.82765,23.74191989
Turfan,59.12,7.55021,7.830245781
Hami,70.68,14.88113,4.749639308
Changji Hui,384.4,8.81058,43.62936379
Ili Kazakh,258.39,6.19274,41.72466469
Tacheng,433.86,11.168,38.8484957
Altay,183.53,13.72039,13.37644192
Bortala Mongol,111.34,2.71178,41.05790293
Bayin'gholin Mongol,315.27,49.76336,6.335384106
Aksu,263.29,13.90079,18.94065014
Kizilsu Kirghiz,15.92,7.15571,2.224796701
Kashgar,161.49,11.50361,14.03820192
Khotan,135.61,25.26639,5.367209166
Beijing,137.4,1.65344,83.09947745
Tianjin,308.9,1.21671,253.8813686
Chongqing,687.2,7.73229,88.8740593
Shanghai,188.2,0.76741,245.2404842
